family,n_features,mean_abs_shap,sd_across_folds,min_across_folds,max_across_folds,share_of_total
wildfire_smoke,68,0.3539692681992096,,0.3539692681992096,0.3539692681992096,0.5725756147214637
stage1_prediction,2,0.18199422403822754,,0.18199422403822754,0.18199422403822754,0.294391248241919
satellite_aod,10,0.08224178772615734,,0.08224178772615734,0.08224178772615734,0.13303313703661748
