stage,fold,rows,base_value,total_mean_abs_shap,additivity_residual
stage1,1,150,7.017496602334334,9.338493620919735,1.176273300984576e-08
corrector,1,150,2.0791310485162613e-05,0.6182052799635944,6.056266599330229e-14
